City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Marienburg,PL,2021-03-21 22:21:29,54.0359,19.0266,30.99,100,6,5.75
93,Saskylakh,RU,2021-03-21 22:21:30,71.9167,114.0833,-31.43,100,76,2.55
94,Castro,BR,2021-03-21 22:21:30,-24.7911,-50.0119,67.93,91,96,2.71
95,Bathsheba,BB,2021-03-21 22:21:30,13.2167,-59.5167,78.8,57,20,14.97
96,Hambantota,LK,2021-03-21 22:21:30,6.1241,81.1185,77.45,87,94,7.16
97,Jamestown,US,2021-03-21 22:18:43,42.097,-79.2353,60.8,11,1,5.12
98,Turukhansk,RU,2021-03-21 22:21:31,65.8167,87.9833,-2.31,87,99,16.91
99,Emerald,AU,2021-03-21 22:19:58,-23.5333,148.1667,77.0,100,90,8.05
100,Hilo,US,2021-03-21 22:17:23,19.7297,-155.09,77.0,57,90,14.97
101,Yanam,IN,2021-03-21 22:21:31,16.7333,82.2167,71.37,87,49,2.77
102,Eston,CA,2021-03-21 22:21:31,51.1501,-108.7514,37.4,32,20,13.8
103,San Quintin,MX,2021-03-21 22:21:32,30.4833,-115.95,60.53,62,81,23.04
104,Bartow,US,2021-03-21 22:21:32,27.8964,-81.8431,64.99,63,90,9.22
105,Padang,ID,2021-03-21 22:21:32,-0.9492,100.3543,73.4,100,40,1.14
106,Saint-Augustin,CA,2021-03-21 22:21:33,51.226,-58.6502,33.98,93,100,11.14
107,Qaanaaq,GL,2021-03-21 22:21:33,77.484,-69.3632,-7.49,95,99,5.17
108,Kaitangata,NZ,2021-03-21 22:21:33,-46.2817,169.8464,63.0,69,62,5.01
109,Qaqortoq,GL,2021-03-21 22:21:34,60.7167,-46.0333,26.6,59,90,14.97
110,Butaritari,KI,2021-03-21 22:21:34,3.0707,172.7902,82.74,77,100,18.81
111,Guhagar,IN,2021-03-21 22:21:34,17.4842,73.1929,72.01,73,0,4.99
112,Whitehorse,CA,2021-03-21 22:21:34,60.7161,-135.0538,18.0,79,90,8.05
113,Broome,US,2021-03-21 22:21:35,42.2506,-75.833,59.0,13,1,1.92
